Node,Layer,Status,Notes
existence,Atom,Pending,
self,Atom,Pending,
identity,Atom,Pending,
continuity,Atom,Pending,
awareness,Atom,Pending,
motion,Atom,Pending,
change,Atom,Pending,
location,Atom,Pending,
time,Atom,Pending,
value,Atom,Pending,
lack,Atom,Pending,
desire,Atom,Pending,
arousal,Atom,Pending,
perception,Atom,Pending,
relation,Atom,Pending,
structure,Atom,Pending,
action,Atom,Pending,
intention,Atom,Pending,
language,Atom,Pending,
symbol,Atom,Pending,
meaning,Atom,Pending,
thought,Atom,Pending,
memory,Atom,Pending,
attention,Atom,Pending,
belief,Compound,Pending,
truth,Compound,Pending,
emotion,Compound,Pending,
communicate,Compound,Pending,
transmission,Compound,Pending,
speak,Compound,Pending,
listen,Compound,Pending,
model,Compound,Pending,
vector,Compound,Pending,
potential,Compound,Pending,
difference,Compound,Pending,
expression,Compound,Pending,
presumption,Meta-Construct,Pending,
challenge,Meta-Construct,Pending,
note,Meta-Construct,Pending,
compression,Meta-Construct,Pending,
divergence,Meta-Construct,Pending,
stabilization,Meta-Construct,Pending,
unresolved,Meta-Construct,Pending,
dogma,Meta-Construct,Pending,
best,Meta-Construct,Pending,
worst,Meta-Construct,Pending,
